Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Porphyrio porphyrio,,,,,,,,,,
,Rallidae,,,,,,,,,,
,Malabar Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Bird populations,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Microhabitat characteristics,,,,,,,,,,
,Breeding success,,,,,,,,,,
TD-00023,"Anbarasu, C.",2013,"Study on avian frugivory and seed dispersal in the shola forests of Nilgiri hills, Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00023,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Shola forests,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Fruit traits,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
TD-00024,"Rajan, P.",2013,Bird community of Andaman Islands with emphasis on human associated and introduced birds,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00024,Landbirds,
,Waterbirds,,,,,,,,,,
,Shorebirds,,,,,,,,,,
,Andamans,,,,,,,,,,
,Islands,,,,,,,,,,
,Forests,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Coasts,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Bird communities ,,,,,,,,,,
,Land use patterns,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Human-wildlife co-existence,,,,,,,,,,
,Introduced species,,,,,,,,,,
TD-00025,"Jayakumar, S.",2013,"Organochlorine pesticides, population and reproductive success of fish-eating birds in select heronries in Tamilnadu",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00025,Waterbirds,
,Coromandel Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Colonial breeders,,,,,,,,,,
,Heronry,,,,,,,,,,
,Reproductive success,,,,,,,,,,
TD-00026,"Ranjini, J.",2013,"Avian species selection in urban habitats - a study in Coimbatore, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00026,Landbirds,
,Wetland birds,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Forests,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Urbanization,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Land use patterns,,,,,,,,,,
,Life-history traits,,,,,,,,,,
TD-00027,"Deivanayaki, M.",2008,"An Assessment of spatial distribution pattern and current status of birds in Nilgiris, Western Ghats, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Phil.,TD-00027,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Forests,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology ,,,,,,,,,,
,Species richness,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Major threats,,,,,,,,,,
TD-00028,"Balakumar, P.",2007,Avian influenza in the context to diminishing ecological resources,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Phil.,TD-00028,Wetland birds,
,landbirds,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Wetlands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Avian influeza,,,,,,,,,,
