Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Principal Components Analysis,,,,,,,,,,
,Canonical Correspondence Analysis,,,,,,,,,,
TD-00124,"Jayapal, R.",2006,"Spatial patterns of species richness and distribution in breeding land birds of the Central Indian Highlands, India",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00124,Landbirds,
,Central Indian Highlands,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Macroecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Macrohabitat characteristics,,,,,,,,,,
,Guild structure,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Competition,,,,,,,,,,
,Species-environment relationships,,,,,,,,,,
,Floristics,,,,,,,,,,
,Vegetation composition,,,,,,,,,,
,Vegetation structure,,,,,,,,,,
TD-00125,"Munjpara, S. B.",2013,"Ecology of the Indian Courser Cursorius coromandelicus in Abdasa, Kutch, India",Department of Zoology,,"Maharaja Krishnakumarsinhji Bhavnagar University, Bhavnagar",,Ph.D.,TD-00125,Coursers,
,Cursorius coromandelicus,,,,,,,,,,
,Glareolidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Foraging maneuver,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nesting biology,,,,,,,,,,
TD-00126,"Gautam, P.",1995,"Ecological studies of bird communities in proposed submergence area of Narmada Sagar Project, Madhya Pradesh, India",Wildlife Institute of India,Dehradun,"Aligarh Muslim University, Aligarh",,Ph.D.,TD-00126,Landbirds,
,Waterbirds,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Community structure,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Water pollution,,,,,,,,,,
,Dam,,,,,,,,,,
TD-00127,"Sugitha, R.",2008,Evaluation of elemental contamination in eggs of select species of birds,Sri Krishna Arts and Science College & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00127,Pavo cristatus,
,Francolinus pondicerianus,,,,,,,,,,
,Phasianidae,,,,,,,,,,
,Galliformes,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Shrublands,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Heavy metal contamination,,,,,,,,,,
,Egg shell characteristics,,,,,,,,,,
,Microwave digestion system,,,,,,,,,,
TD-00128,"Karuppuswamy, R.",2005,"Pesticide residues in the tissues of three species of birds in Coimbatore, Tamil Nadu",Department of Environmental Sciences (BU) & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00128,Acridotheres tristis,
,Sturnidae,,,,,,,,,,
,Starlings,,,,,,,,,,
,Coturnix coturnix,,,,,,,,,,
,Phasianidae,,,,,,,,,,
,Galliformes,,,,,,,,,,
,Eudynamys scolopaceus,,,,,,,,,,
,Cuculidae,,,,,,,,,,
,Cuckoos,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Rural ecosystem,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Chemical pollutants,,,,,,,,,,
TD-00129,"Ranapratap, S.",2004,Levels of organochlorine residues in eggs of a few species of birds with reference to usage pattern in select locations in Tamil Nadu,Department of Environmental Sciences (BU) & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00129,Landbirds,
,Passer domesticus,,,,,,,,,,
,Nectarinia asiatica,,,,,,,,,,
,Francolinus pondicerianus,,,,,,,,,,
,Ploceus philippinus,,,,,,,,,,
,Prinia inornata,,,,,,,,,,
,Pycnonotus jocosus,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Thorn forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Chemical pollutants,,,,,,,,,,
,Non-target orgainsms,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Impact assessment,,,,,,,,,,
TD-00130,"Prabhu, V. S.",2005,A comparative account on the lead contamination in crows and Little Cormorant in Tamil Nadu,J.J College of Arts and Science & Sálim Ali Centre for Ornithology and Natural History,Pudukkottai & Coimbatore,"Bharathidasan University, Tiruchirappalli",,M.Sc.,TD-00130,Corvus splendens,
,Corvus macrorhynchos,,,,,,,,,,
,Corvidae,,,,,,,,,,
,Crows,,,,,,,,,,
,Microcarbo niger,,,,,,,,,,
,Phalacrocoracidae,,,,,,,,,,
,Cormorants,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Shrublands,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Rural ecosystem,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Metal contamination,,,,,,,,,,
,Bio-magnification,,,,,,,,,,
,Scavengers,,,,,,,,,,
,Lead poisoning,,,,,,,,,,
TD-00131,"Vishnu, G.",2001,Levels of heavy metals in the feathers of few species of birds in Nilgiris district and their effectiveness as a tool,PSG College of Arts and Science & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00131,Landbirds,
,Western Ghats (Central),,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Heavy metal contamination,,,,,,,,,,
,Bird feathers,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Microwave digestion system,,,,,,,,,,
TD-00132,"Kumari, V.",2012,Blood plasma acetylcholinesterase and butyrylcholinesterase activities as biomarkers of exposure to pesticides in birds in Gujarat and Kerala,Nehru Arts and Science College & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00132,Landbirds,
,Waterbirds,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Blood plasma analysis,,,,,,,,,,
,Conservation biology,,,,,,,,,,
TD-00133,"Kumar, S. S.",2008,"Status of breeding fish eating birds in Vedanthangal Bird Sanctuary, Tamil Nadu",Department of Ecology and Environmental Sciences (PU) & Sálim Ali Centre for Ornithology and Natural History,Puducherry & Coimbatore,"Pondicherry University, Puducherry",,M.Sc.,TD-00133,Waterbirds,
,Waterfowl,,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Piscivores,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Migration,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Reproductive biology,,,,,,,,,,
TD-00134,"Amrutha, K.",2012,Brain acetylcholinesteraseand butyrylcholinesterase activities as biomarkers of exposure to pesticides in birds in Gujarat,Nehru Arts and Science College & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00134,Landbirds,
,Waterbirds,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Nervous disorders,,,,,,,,,,
,Enzyme activity,,,,,,,,,,
TD-00135,"Kumar, B. S.",2011,"Levels of blood plasma acetylcholinesterase (AChE) and butyrylcholineterase (BChE) activity in the birds of Ahmedabad, India",AVS College of Arts and Science & Sálim Ali Centre for Ornithology and Natural History,Salem & Coimbatore,"Periyar University, Salem",,M.Sc.,TD-00135,Landbirds,
,Waterbirds,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Blood plasma analysis,,,,,,,,,,
,Enzyme activity,,,,,,,,,,
TD-00136,"Jayakumar, R.",1999,Accumulation of heavy metals in select species of birds in Nilgiris district,PSG College of Arts and Science & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,TD-00136,Waterbirds,
,Phalacrocorax carbo,,,,,,,,,,
,Bubulcus ibis,,,,,,,,,,
,Egretta garzetta,,,,,,,,,,
,Ardeola grayii,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Wetland birds,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Heavy metal contamination,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Water pollution,,,,,,,,,,
TD-00137,"Misra, V.",1989,Monitoring and surveillance of pesticidal pollution of Mahala water reservoir with reference to its avifauna,Department of Zoology,Jaipur,"University of Rajasthan, Jaipur",,Ph.D.,TD-00137,Waterbirds,
,Waterfowl,,,,,,,,,,
,Punjab Plains,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Pesticide contamination,,,,,,,,,,
,Bio-concentration,,,,,,,,,,
,Water pollution,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
TD-00138,"Mageshkumar, N.",2016,Levels of select non-steroidal anti inflammatory drugs (NSAIDs) in livestock caracasses and the possible impact on free ranging vultures in Gujarat,PSG College of Technology & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Anna University, Chennai",,B.Tech.,TD-00138,Vultures,
,Gujarat Rajputana,,,,,,,,,,
,Forests,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Drug regulation,,,,,,,,,,
,NSAIDs,,,,,,,,,,
,Meloxicam,,,,,,,,,,
,Diclofenac,,,,,,,,,,
TD-00139,"Rathod, J. Y.",2009,Avifauna of urban area: Its significance and implication under various human disturbance,Department of Zoology,Vadodara,"The Maharaja Sayajirao University of Baroda , Vadodara","ix, 220p.",Ph.D.,TD-00139,Landbirds ,
,Waterbirds,,,,,,,,,,
,Forests,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
TD-00141,"Deshkar, S. L.",2009,Avifaunal diversity and ecology of wetlands in semiarid zone of central Gujarat with reference to their conservation categorization,Department of Zoology,,"The Maharaja Sayajirao University of Baroda , Vadodara",,Ph.D.,TD-00141,Landbirds,
,Wetland birds,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
,Migration,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
,Nesting biology,,,,,,,,,,
TD-00143,"Mohan, D.",2009,"Habitat selection of birds in New Forest, Dehradun, India",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00143,Landbirds,
,Dry deciduous forests,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Social organisation,,,,,,,,,,
,Campus avifauna,,,,,,,,,,
TD-00146,"Ahangar, F. A.",2008,Studies on avian diversity and breeding biology of Mallard (Anas platyrhynchos platyrhynchos) in the wetlands of Kashmir,Deartment of Zoology,,"University of Kashmir, Srinagar",,Ph.D.,TD-00146,Ducks,
,Waterfowl,,,,,,,,,,
,Waterbirds,,,,,,,,,,
,Anas platyrhynchos,,,,,,,,,,
,Anatidae,,,,,,,,,,
,Kashmir Valley,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Winter migrant,,,,,,,,,,
,Macrohabitat characteristics,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Parental care,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nesting plants,,,,,,,,,,
,Secretive behaviour,,,,,,,,,,
TD-00147,"Kaur, J.",2009,"Impact of land use changes on the habitat, behaviour and breeding biology of the Indian Sarus Crane (Grus antigone antigone)  in the semi arid tract of Rajasthan, India",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00147,Antigone antigone,
,Gruidae,,,,,,,,,,
,Cranes,,,,,,,,,,
,Semi-Arid,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Landuse & landcover change,,,,,,,,,,
,Habitat disturbance,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
TD-00148,"Patel, K. B.",2008,"Assessment of avian community and its impact on millets agro ecosysytem in selected area of the Patan district, NG",Department of Zoology,,"Hemachandracharya North Gujarat University, Patan",,Ph.D.,TD-00148,Landbirds,
,Gujarat Rajputana,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Rural ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Granivores,,,,,,,,,,
,Human-wildlife conflicts,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Food availability,,,,,,,,,,
TD-00149,"Naik, K. L.",2008,Studies on the ecology of weaver birds in some parts of Western Ghats of Karnataka,Department of Zoology,,"Kuvempu University, Shankaraghatta",,Ph.D.,TD-00149,Ploceus philippinus,
,Ploceidae,,,,,,,,,,
,Weavers,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Rural ecosystem,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat occupancy,,,,,,,,,,
,Habitat selection,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Foraging maneuver,,,,,,,,,,
,Predation,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Habitat loss,,,,,,,,,,
TD-00155,"Raza, R. H.",2007,Diversity and rarity in avifaunal assemblages in the Western Himalaya: A study of patterns and mechanisms,Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00155,Landbirds,
,Western Himalayas,,,,,,,,,,
,Moist broadleaved forests,,,,,,,,,,
,Conifer forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Community composition,,,,,,,,,,
,Social organisation,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Thermoregulation,,,,,,,,,,
TD-00160,"Chandy, M.",2010,Studies on avifauna of rice fields in an area around Vembanad lake,Department of Zoology,,"Mahatma Gandhi University, Kottayam",,Ph.D.,TD-00160,Landbirds,
,Waterbirds,,,,,,,,,,
,Malabar Coast,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Macroecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Cropping seasonality,,,,,,,,,,
,Granivores,,,,,,,,,,
TD-00161,"Pramod, P.",1995,Ecological studies of bird communities of Silent Valley and neighbouring forests,Department of Zoology,,University of Calicut,,Ph.D.,TD-00161,Landbirds,
,Waterbirds,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forests,,,,,,,,,,
,Dry evergreen forests,,,,,,,,,,
,Riverine forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Community structure,,,,,,,,,,
,Community composition,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species richness,,,,,,,,,,
,Spatial distribution,,,,,,,,,,
,Interspecific associations,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Foraging guilds,,,,,,,,,,
,Canopy utilization,,,,,,,,,,
,Mixed species flocks,,,,,,,,,,
TD-00162,"Jose, B.",2001,Ecological isolation of babblers ( Turdoides spp.),St. Berchman's College,Changanacherry,"Mahatma Gandhi University, Kottayam",,Ph.D.,TD-00162,Babblers,
,Leiothrichidae,,,,,,,,,,
,Malabar Plains,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Parental care,,,,,,,,,,
,Sentinel behaviour,,,,,,,,,,
,Vocalization,,,,,,,,,,
TD-00164,"Singh, S.",2006,Ecology and biology of cormorants (Phalacrocorax spp) with special reference to P.carbo and P.niger  in and around Aligarh,Department of Wildlife Science,,"Aligarh Muslim University, Aligarh",,Ph.D.,TD-00164,Cormorants,
,Phalacrocorax carbo,,,,,,,,,,
,Microcarbo niger,,,,,,,,,,
,Phalacrocoracidae,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Wetlands ,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Floating vegetation,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Competition,,,,,,,,,,
,Niche overlap,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00171,"Ramesh, K.",2004,"An ecological study on the pheasants of Great Himalayan National Park, Western Himalaya",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,TD-00171,Phasianidae,
,Galliformes,,,,,,,,,,
,Pheasants,,,,,,,,,,
,Western Himalayas,,,,,,,,,,
,Pine forests,,,,,,,,,,
,Broadleaved forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat occupancy,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nest-site characteristics,,,,,,,,,,
,telemetry & radio-collaring,,,,,,,,,,
TD-00172,"Guha, A.",2004,Energy metabolism in relation to breeding activities in two omnivore species of birds,Department of Zoology,,"Maharaja Sayajirao University of Baroda, Vadodara",,Ph.D.,TD-00172,Acridotheres ginginianus,
,Sturnia pagodarum,,,,,,,,,,
,Sturnidae,,,,,,,,,,
,Passeriformes,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Woodlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Farmlands,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Reproductive pattern,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Carbohydrate metabolism,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00175,"Bhardwaj, S.",2004,Status assessment of birds of urban Shimla,Department of Zoology,,"Himachal Pradesh University, Shimla",,Ph.D.,TD-00175,Landbirds,
,North-west Himalayas,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Group size,,,,,,,,,,
TD-00176,"Karthikeyan, M.",2007,Avifauna and their habitat utilisation in three different habitats of Parambikulam Wildlife Sanctuary,Department of Zoology,,"Mahatma Gandhi University, Kottayam",,Ph.D.,TD-00176,Landbirds,
,Waterbirds,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Wetlands,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Teak plantation,,,,,,,,,,
,Floristics,,,,,,,,,,
,Foraging pattern,,,,,,,,,,
,Community structure,,,,,,,,,,
TD-00177,"Soni, H. B.",2007,Environmental studies of two significant wetlands of Gujarat with particular reference to eutrophication and avifauna,Department of Environmental Science,,"Sardar Patel University, Anand",,Ph.D.,TD-00177,Waterbirds,
,Waterfowl,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Eutrophication,,,,,,,,,,
,Phosphate pollution,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Impact assessment,,,,,,,,,,
,Planktons,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
TD-00178,"Tere, A.",2005,Ecology of Greater Flamingo Phoenicopterus roseus and Lesser Flamingo Phoenicopterus minor on the wetlands of Gujarat,Department of Zoology,,"Maharaja Sayajirao University of Baroda, Vadodara",,Ph.D.,TD-00178,Flamingos,
,Phoenicopterus roseus,,,,,,,,,,
,Phoeniconaias minor,,,,,,,,,,
,Phoenicopteridae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands ,,,,,,,,,,
,Swamps,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Behavioural context,,,,,,,,,,
,Remote sensing,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Mortality rate ,,,,,,,,,,
,Breeding success,,,,,,,,,,
TD-00179,"Varghese, A. P.",2013,Ecology and behaviour of Malabar Trogon Harpactes fasciatus malabaricus,Department of Zoology,,"Mahatma Gandhi University, Kottayam",,Ph.D.,TD-00179,Harpactes fasciatus,
,Trogonidae,,,,,,,,,,
,Trogons,,,,,,,,,,
,Western Ghats (South),,,,,,,,,,
,Malabar Plains,,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Climate change,,,,,,,,,,
,Vegetation,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
TD-00180,"Sanjeevareddy, M. V.",1988,Some aspects of ecology and behavoiur of hornbills with special reference to Anthracoceros coronatus (Boddaert) from North Kanara district of Western Ghats,Department of Zoology,,"Karnatak University, Dharwad","iv, 127p",Ph.D.,TD-00180,Hornbills,
,Anthracoceros coronatus ,,,,,,,,,,
,Bucerotidae,,,,,,,,,,
,Western Ghats (Central),,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
TD-00185,"Dodia, P. P.",2002,Ecological and ethological studies on Pavo cristatus from Bhavnagar district,Department of Zoology,,"Bhavnagar University, Bhavnagar",,Ph.D.,TD-00185,Galliformes,
,Pavo cristatus,,,,,,,,,,
,Phasianidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Woodland,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
